candidate,risk_measure,scenario_tail_overlay_fraction,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,selected_profile,failure_reason
variance__multiplier_0__variance_0__cvar_0,variance,0.0,0.0,0.0,0.0,optimal,1240800.4033837947,358626.2380664465,50847.00468700852,831327.1606303396,4889510.442652806,6849354.408802731,10198981.10093237,0.609375,,
variance__multiplier_0.0001__variance_2.64632e-12__cvar_0,variance,0.0,0.0001,2.6463216698563395e-12,0.0,optimal,1240795.7528333329,358621.6473365263,50846.94521902905,831327.1602777775,4889419.646435303,6849308.826407809,10198859.206474304,0.609375,,
variance__multiplier_0.0003__variance_7.93897e-12__cvar_0,variance,0.0,0.0003,7.938965009569017e-12,0.0,optimal,1240786.4540651878,358612.4768397969,50846.826331742835,831327.1508936482,4889238.127136335,6849217.84523506,10198615.69047894,0.609375,,
variance__multiplier_0.001__variance_2.64632e-11__cvar_0,variance,0.0,0.001,2.6463216698563395e-11,0.0,optimal,1240753.9170864553,358580.4625088227,50846.41035082429,831327.0442268084,4888603.595957955,6848899.258605529,10197764.121048607,0.609375,,
variance__multiplier_0.003__variance_7.93897e-11__cvar_0,variance,0.0,0.003,7.938965009569018e-11,0.0,optimal,1240661.0287797025,358489.6955997598,50845.22289930012,831326.1102806425,4886797.360328145,6847987.707074663,10195337.354830792,0.609375,,
variance__multiplier_0.01__variance_2.64632e-10__cvar_0,variance,0.0,0.01,2.6463216698563395e-10,0.0,optimal,1240316.4594083442,358160.6673889113,50840.83185496187,831314.9601644711,4880273.578953731,6844945.28705488,10186377.33800192,0.609375,,
variance__multiplier_0.03__variance_7.93897e-10__cvar_0,variance,0.0,0.03,7.938965009569018e-10,0.0,optimal,1238918.9095242387,356890.71414785297,50823.76051860744,831204.4348577783,4858817.6787690865,6837722.2370822895,10153770.778090727,0.609375,,
variance__multiplier_0.1__variance_2.64632e-09__cvar_0,variance,0.0,0.1,2.6463216698563396e-09,0.0,optimal,1233302.641941202,352528.1998908073,50759.79084996261,830014.6512004322,4786925.501848386,6795513.08979811,10051162.370129792,0.60546875,,
variance__multiplier_0.3__variance_7.93897e-09__cvar_0,variance,0.0,0.3,7.938965009569018e-09,0.0,optimal,1201659.0573873327,334204.1070050274,50472.36104252336,816982.5893397819,4523218.087999987,6562939.042690729,9678819.831323752,0.59765625,low,
variance__multiplier_1__variance_2.64632e-08__cvar_0,variance,0.0,1.0,2.6463216698563394e-08,0.0,optimal,1107077.699350989,306860.022807344,49742.44817817834,750475.2283654667,3991730.5182039547,5914697.255283639,8852519.339315655,0.59765625,medium,
variance__multiplier_3__variance_7.93897e-08__cvar_0,variance,0.0,3.0,7.938965009569018e-08,0.0,optimal,1054454.477793903,314366.6574198618,49268.33335625533,690819.487017786,3823940.666925942,5811453.237199127,8477764.950998448,0.58984375,,
variance__multiplier_10__variance_2.64632e-07__cvar_0,variance,0.0,10.0,2.6463216698563393e-07,0.0,optimal,1035789.1240333067,330910.30738082307,49104.6770000229,655774.1396524608,3784340.224042863,5840737.688884632,8354368.243811093,0.59765625,,
variance__multiplier_30__variance_7.93897e-07__cvar_0,variance,0.0,30.0,7.938965009569018e-07,0.0,optimal,1034511.5368068817,340372.5864024607,49047.59677026302,645091.3536341579,3781285.6384267183,5914211.054438742,8379277.976513487,0.59375,high,
variance__multiplier_100__variance_2.64632e-06__cvar_0,variance,0.0,100.0,2.6463216698563394e-06,0.0,optimal,1033955.748453869,349470.21794185584,49013.99491302328,635471.5355989899,3780232.984138535,5953880.018431059,8387918.942839545,0.59375,,
variance__multiplier_300__variance_7.93897e-06__cvar_0,variance,0.0,300.0,7.938965009569018e-06,0.0,optimal,1033755.3027818655,352699.1219343267,49003.15253181928,632053.0283157194,3780126.92540733,5959946.536051188,8387232.745707496,0.59375,,
variance__multiplier_1000__variance_2.64632e-05__cvar_0,variance,0.0,1000.0,2.6463216698563394e-05,0.0,optimal,1033688.0352527127,354996.91119435173,48997.28163327015,629693.8424250907,3780102.550049515,5969498.842744859,8389518.821710298,0.59375,,
downside_cvar__multiplier_0__variance_0__cvar_0,downside_cvar,0.0,0.0,0.0,0.0,optimal,1240800.4033837947,358626.2380664465,50847.00468700852,831327.1606303396,4889510.442652806,6849354.408802731,10198981.10093237,0.609375,,
downside_cvar__multiplier_0.03__variance_0__cvar_0.00260184,downside_cvar,0.0,0.03,0.0,0.0026018404468499275,optimal,1239278.1090435097,357189.0537729648,50828.617097690585,831260.4381728544,4874283.1675343625,6800614.137657456,10151445.237199292,0.609375,,
downside_cvar__multiplier_0.1__variance_0__cvar_0.0086728,downside_cvar,0.0,0.1,0.0,0.00867280148949976,optimal,1234212.0367087969,352930.6826980621,50773.37297811975,830507.981032615,4831143.955862067,6680734.288305179,10019771.899701066,0.609375,,
downside_cvar__multiplier_0.3__variance_0__cvar_0.0260184,downside_cvar,0.0,0.3,0.0,0.026018404468499273,optimal,1212937.0141469555,339461.0121907887,50583.04517469929,822892.9567814674,4697657.388835195,6331927.474824392,9601997.862789104,0.60546875,low,
downside_cvar__multiplier_1__variance_0__cvar_0.086728,downside_cvar,0.0,1.0,0.0,0.08672801489499758,optimal,1127913.6202016554,317538.16494562,49895.68182412054,760479.7734319149,4319362.385121032,5771874.406924083,8470157.168636393,0.5859375,medium,
downside_cvar__multiplier_3__variance_0__cvar_0.260184,downside_cvar,0.0,3.0,0.0,0.26018404468499273,optimal,1009973.212935539,331915.1499178777,49114.89237362069,628943.1706440406,4031345.4044546816,5278683.598824431,7623427.832278698,0.56640625,high,
