event_id,strategy,coefficient_policy,alpha_policy,factor_policy,risk_aversion,liquidity_forecast_quantile,frontier_selected_inventory_risk_weight,inventory_risk_weight,risk_budget_dollars
event_25,static_open_loop,baseline_locked,raw,barra,medium,0.5,9.120811753644233e-08,9.120811753644233e-08,4080476.803433662
event_25,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,9.120811753644233e-08,9.120811753644233e-08,4080476.803433662
event_26,static_open_loop,baseline_locked,raw,barra,medium,0.5,2.73624352609327e-08,2.73624352609327e-08,4135045.1683033677
event_26,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,2.73624352609327e-08,2.73624352609327e-08,4135045.1683033677
event_27,static_open_loop,baseline_locked,raw,barra,medium,0.5,2.420197093537582e-08,2.420197093537582e-08,4304732.53628167
event_27,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,7.260591280612746e-08,2.420197093537582e-08,4304732.53628167
event_28,static_open_loop,baseline_locked,raw,barra,medium,0.5,1.923035711662647e-08,1.923035711662647e-08,4184733.8738865317
event_28,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,1.923035711662647e-08,1.923035711662647e-08,4184733.8738865317
event_29,static_open_loop,baseline_locked,raw,barra,medium,0.5,2.375508784604258e-08,2.375508784604258e-08,4306299.201666011
event_29,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,2.375508784604258e-08,2.375508784604258e-08,4306299.201666011
event_30,static_open_loop,baseline_locked,raw,barra,medium,0.5,3.032956672666405e-08,3.032956672666405e-08,4340162.279098766
event_30,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,3.032956672666405e-08,3.032956672666405e-08,4340162.279098766
event_31,static_open_loop,baseline_locked,raw,barra,medium,0.5,3.874894289221057e-08,3.874894289221057e-08,4146277.519771411
event_31,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,3.874894289221057e-08,3.874894289221057e-08,4146277.519771411
event_32,static_open_loop,baseline_locked,raw,barra,medium,0.5,4.126535726659911e-08,4.126535726659911e-08,4357993.8135468215
event_32,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,4.126535726659911e-08,4.126535726659911e-08,4357993.8135468215
event_33,static_open_loop,baseline_locked,raw,barra,medium,0.5,3.700100847289193e-08,3.700100847289193e-08,3989357.9442064143
event_33,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,1.1100302541867578e-07,3.700100847289193e-08,3989357.9442064143
event_34,static_open_loop,baseline_locked,raw,barra,medium,0.5,9.120811753644233e-08,9.120811753644233e-08,4187197.240044454
event_34,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,9.120811753644233e-08,9.120811753644233e-08,4187197.240044454
event_35,static_open_loop,baseline_locked,raw,barra,medium,0.5,5.697222589464399e-08,5.697222589464399e-08,4340552.137419206
event_35,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,5.697222589464399e-08,5.697222589464399e-08,4340552.137419206
event_36,static_open_loop,baseline_locked,raw,barra,medium,0.5,2.73624352609327e-08,2.73624352609327e-08,4148344.704290303
event_36,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,medium,0.25,2.73624352609327e-08,2.73624352609327e-08,4148344.704290303
