date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,event_id,strategy
2028-03-15,80428.94994042807,20561.93097576775,3045.584994825279,56821.43396983503,56821.43396983503,0.09005568411100952,0.08387010638338008,0.0,event_25,static_open_loop
2028-03-16,-115422.61453822942,19808.59907840606,3599.111468814312,-138830.3250854498,-82008.89111561477,0.0713613428358298,0.07019152155013897,0.0,event_25,static_open_loop
2028-03-17,40794.20509694725,29813.148830869315,4507.711114674533,6473.3451514033995,-75535.54596421137,0.08834235408414653,0.08278416823560805,0.0,event_25,static_open_loop
2028-03-20,542969.2223575659,41493.291541984356,5694.705060479592,495781.22575510194,420245.67979089054,0.11618405925173603,0.10909020105180808,11724.467667962454,event_25,static_open_loop
2028-03-21,-350240.2970302323,32229.274772522418,5720.783668184107,-388190.3554709389,32055.324319951644,0.08431092242397104,0.0818918469271282,0.0,event_25,static_open_loop
2028-03-22,428262.2771316221,38718.416709906734,5967.566904744459,383576.2935169709,415631.6178369225,0.10423435303085986,0.09897649482320625,4874.807095053824,event_25,static_open_loop
2028-03-23,-1267763.632984443,33864.51017892093,5298.262825973819,-1306926.4059893377,-891294.7881524152,0.10368145585401976,0.09986133957566179,3195.6636232099117,event_25,static_open_loop
2028-03-24,1692031.1672026676,26394.185439403278,5015.43917218166,1660621.5425910826,769326.7544386674,0.08244744536488043,0.08194669178858101,0.0,event_25,static_open_loop
2028-03-27,-1274076.8665563576,15432.484814362562,4331.363502420338,-1293840.7148731404,-524513.960434473,0.06244058684560442,0.061297018147125557,0.0,event_25,static_open_loop
2028-03-28,-4038083.4635053934,20361.36372662343,6100.385801632377,-4064545.213033649,-4589059.173468122,0.05726596619987002,0.05624299652296541,0.0,event_25,static_open_loop
2028-03-15,41361.048468530214,4884.991303338601,1475.0643347179791,35000.99283047363,35000.99283047363,0.045527631028766995,0.0421931974919051,0.0,event_25,forecast_liquidity
2028-03-16,-66026.22508166361,6151.3783604544315,1994.6540383840884,-74172.25748050213,-39171.2646500285,0.041184511136620076,0.040010838244390154,0.0,event_25,forecast_liquidity
2028-03-17,16607.412518261866,11188.825390527041,2752.0891913583205,2666.4979363765046,-36504.766713651996,0.0536877126424591,0.052064290150256196,0.0,event_25,forecast_liquidity
2028-03-20,318615.3342233497,17409.314160969127,3715.2114089527413,297490.80865342787,260986.04193977587,0.07175674519287978,0.06841171364246956,0.0,event_25,forecast_liquidity
2028-03-21,-249422.79888912672,22687.259212321595,4781.236967223295,-276891.2950686716,-15905.25312889571,0.07142193975813502,0.06996714335525486,0.0,event_25,forecast_liquidity
2028-03-22,347082.16486387106,36358.33351994815,5731.04396074334,304992.78738317953,289087.5342542838,0.10302838449578984,0.0978032128532323,3486.433492681521,event_25,forecast_liquidity
2028-03-23,-968325.4520268105,39234.90312078726,5685.979590831092,-1013246.3347384288,-724158.8004841451,0.11164409154677131,0.10748510109583802,10107.577343542798,event_25,forecast_liquidity
2028-03-24,1474677.7285620228,38212.563362358735,6168.852229543835,1430296.3129701202,706137.5124859752,0.09569889770847138,0.09557045892289091,0.0,event_25,forecast_liquidity
2028-03-27,-1162804.8475045003,30830.46074284306,6317.001072240268,-1199952.3093195837,-493814.79683360853,0.08365385203484572,0.08227222461860761,0.0,event_25,forecast_liquidity
2028-03-28,-4038083.4635053906,39756.185921281,9310.63341373853,-4087150.2828404102,-4580965.079674019,0.0922746958707521,0.08748998016014452,0.0,event_25,forecast_liquidity
2028-04-03,89408.31861126849,31953.15437837637,3784.951930903002,53670.21230198912,53670.21230198912,0.09957655352543059,0.09351240563554877,0.0,event_26,static_open_loop
2028-04-04,-159944.3940231912,29701.738724310064,4069.6558406811628,-193715.78858818245,-140045.57628619333,0.08789088255132388,0.08782580518960917,0.0,event_26,static_open_loop
2028-04-05,-1194897.9912931458,30225.122268003768,4624.882866741779,-1229747.9964278915,-1369793.5727140848,0.08832882137044244,0.08559659898612562,0.0,event_26,static_open_loop
2028-04-06,736732.4710559738,36776.70601212646,4897.206399928513,695058.5586439188,-674735.0140701659,0.08908456383289266,0.08836716446631651,0.0,event_26,static_open_loop
2028-04-07,-793255.8310299136,43676.732012415705,5516.163162525032,-842448.7262048543,-1517183.7402750202,0.11431012480479581,0.10909107338669342,15022.422695603527,event_26,static_open_loop
2028-04-10,-321396.8456787546,32205.654758570214,6004.910093375198,-359607.4105307,-1876791.1508057201,0.08663747363593478,0.08491762319107811,0.0,event_26,static_open_loop
2028-04-11,445242.54005205765,29733.950791867654,5769.997373912878,409738.59188627714,-1467052.558919443,0.09361332771381382,0.0884785510280056,0.0,event_26,static_open_loop
2028-04-12,-568646.4975535262,23364.00819723185,4648.0866984408885,-596658.5924491988,-2063711.1513686418,0.08605474889620747,0.08511721605038006,0.0,event_26,static_open_loop
2028-04-13,546084.802627645,21635.64284099068,5082.583576407329,519366.57621024695,-1544344.5751583949,0.07108151431416417,0.0664480702125217,0.0,event_26,static_open_loop
2028-04-14,1634970.45875762,11596.408484818463,4090.929198784887,1619283.1210740167,74938.5459156218,0.05526182736614256,0.05294879923023844,0.0,event_26,static_open_loop
2028-04-03,37744.37669390835,8267.862742119549,1873.1591315665826,27603.35482022222,27603.35482022222,0.05661945611963888,0.05058151560813568,0.0,event_26,forecast_liquidity
2028-04-04,-69426.31111928403,10243.824663557532,2343.227634984178,-82013.36341782575,-54410.00859760353,0.05829975449886508,0.055609917472230194,0.0,event_26,forecast_liquidity
2028-04-05,-752021.7702022116,13237.614153406179,3039.965697986925,-768299.3500536047,-822709.3586512082,0.06762472871699152,0.06179293179258473,0.0,event_26,forecast_liquidity
2028-04-06,504224.91582777357,19947.19286133546,3546.844713427336,480730.87825301074,-341978.4803981975,0.06680154171146176,0.0664057730300428,0.0,event_26,forecast_liquidity
2028-04-07,-533185.0085798892,28605.888231087956,4323.836368140073,-566114.7331791172,-908093.2135773147,0.10055985228897121,0.09439540089518586,646.405193457671,event_26,forecast_liquidity
2028-04-10,-259012.930337741,27792.25438311075,5360.690225635431,-292165.8749464872,-1200259.0885238019,0.08254427196411177,0.08216051057568292,0.0,event_26,forecast_liquidity
2028-04-11,349397.99252428394,33556.51525439485,5802.225196840934,310039.25207304815,-890219.8364507537,0.10070441125440951,0.09209754185965541,827.7158771067479,event_26,forecast_liquidity
2028-04-12,-462548.8896694019,32200.378387740606,5545.284205110504,-500294.552262253,-1390514.3887130069,0.10075486739273525,0.09922128768335162,1052.6332970822696,event_26,forecast_liquidity
2028-04-13,479424.90385138575,37541.175202933184,6889.651918152618,434994.0767302999,-955520.3119827069,0.09560470538880078,0.08940044888768972,0.0,event_26,forecast_liquidity
2028-04-14,1634970.458757585,36412.07453514173,8462.31558467848,1590096.0686377648,634575.7566550579,0.08904535606593685,0.08626481327648595,0.0,event_26,forecast_liquidity
2028-04-20,41518.864615871265,41048.85152353479,4491.335179897245,-4021.3220875607676,-4021.3220875607676,0.12637186453891427,0.11631416393966319,12842.934419784106,event_27,static_open_loop
2028-04-21,60702.37261317184,55135.479881335305,4382.526155947199,1184.3665758893394,-2836.955511671428,0.12364628585169421,0.11956894602138242,13283.15486921418,event_27,static_open_loop
2028-04-24,-386894.4715546343,40441.60748254558,5204.734788282857,-432540.8138254627,-435377.76933713414,0.10728394672086235,0.10115997220220774,5159.142393353104,event_27,static_open_loop
2028-04-25,-544412.0774516303,45849.57605798457,5593.945342882408,-595855.5988524973,-1031233.3681896315,0.10361431958787985,0.1034526551607059,2772.71682449097,event_27,static_open_loop
2028-04-26,-195858.7644295606,46798.54841137835,5902.016806865176,-248559.32964780412,-1279792.6978374356,0.1295889125158317,0.12175280844044753,20287.072569450655,event_27,static_open_loop
2028-04-27,-1570510.7598639017,45924.304446114875,6099.751386391132,-1622534.8156964078,-2902327.5135338437,0.1137768537430238,0.11211890118635588,12948.33119951222,event_27,static_open_loop
2028-04-28,396744.826160648,30777.214959339908,5667.0602656059245,360300.55093570217,-2542026.9625981413,0.09018416181997045,0.08830586423415579,0.0,event_27,static_open_loop
2028-05-01,-1769676.9087234105,28033.237107777728,4333.3798501395995,-1802043.5256813278,-4344070.488279469,0.09354054045568141,0.09301665633019797,0.0,event_27,static_open_loop
2028-05-02,-735872.4858145365,16201.820457174083,3355.5348919923204,-755429.8411637029,-5099500.329443173,0.08816278960682314,0.08706992384128517,0.0,event_27,static_open_loop
2028-05-03,-692538.0362893719,9908.635952452292,3725.250440618281,-706171.9226824425,-5805672.252125615,0.05033059110271898,0.04841452792093414,0.0,event_27,static_open_loop
2028-04-20,28114.45870112283,12459.911599731051,2401.7718333594617,13252.775268032316,13252.775268032316,0.06737865221987253,0.06683495795241336,0.0,event_27,forecast_liquidity
2028-04-21,34650.70550924939,23140.527044244773,2697.423544653484,8812.754920351133,22065.530188383447,0.08292379888517547,0.07946842706257282,0.0,event_27,forecast_liquidity
2028-04-24,-268770.8350889448,21697.20840069643,3639.843560070846,-294107.8870497121,-272042.3568613287,0.07721563350713202,0.07604290246650364,0.0,event_27,forecast_liquidity
2028-04-25,-348492.2337706958,29843.879957508067,4280.535021295281,-382616.6487494992,-654659.0056108278,0.09100955189093878,0.08576168233469614,0.0,event_27,forecast_liquidity
2028-04-26,-116306.02722133276,35188.47268458453,4895.382407726171,-156389.88231364344,-811048.8879244713,0.11716023757495288,0.10539150912485956,11765.589046431283,event_27,forecast_liquidity
2028-04-27,-1056936.8471595237,42671.507232039716,5658.227343874686,-1105266.5817354382,-1916315.4696599096,0.10888727867133495,0.10455658031807193,7221.361616487251,event_27,forecast_liquidity
2028-04-28,472022.20594591054,36965.34738248966,6120.411324298097,428936.4472391228,-1487379.0224207868,0.09343283424788129,0.09306791211398417,0.0,event_27,forecast_liquidity
2028-05-01,-1415911.1507229763,41570.728029683894,5527.37692192189,-1463009.2556745822,-2950388.278095369,0.10864046824642339,0.10851050742658848,10892.349430496033,event_27,forecast_liquidity
2028-05-02,-690673.4113069469,29690.804438588562,5078.0238382974385,-725442.2395838329,-3675830.5176792024,0.1181147844695206,0.11686543570010118,24656.367627066793,event_27,forecast_liquidity
2028-05-03,-692538.036289394,29251.03602638277,7043.939083435629,-728833.0113992124,-4404663.529078415,0.0810994818100514,0.07800587070359193,0.0,event_27,forecast_liquidity
2028-05-09,70517.45799742053,34442.556367713085,4289.229722711176,31785.671906996264,31785.671906996264,0.1046606390525497,0.09855499729827492,2747.1828975043245,event_28,static_open_loop
2028-05-10,-118556.95960213186,38059.93248875115,4202.547892793286,-160819.43998367628,-129033.76807668002,0.14065355365805954,0.1122472460030453,35413.52808667792,event_28,static_open_loop
2028-05-11,60395.09746061399,34729.185067518236,5189.191577598953,20476.720815496803,-108557.04726118321,0.11916562173287562,0.09641930692591769,23030.501032284097,event_28,static_open_loop
2028-05-12,216491.69821241967,39811.46860165621,5687.927196986117,170992.30241377733,62435.25515259412,0.10754335820718294,0.09761183762479868,10521.372495044983,event_28,static_open_loop
2028-05-15,1269629.0257047934,38889.807417028496,5961.4072735669,1224777.811014198,1287213.066166792,0.12194914678684589,0.11626881238606866,26997.90941314536,event_28,static_open_loop
2028-05-16,830004.0012438887,36298.041874256385,6052.685992020801,787653.2733776117,2074866.3395444038,0.09842706729331763,0.09417321739114014,0.0,event_28,static_open_loop
2028-05-17,941058.2214258413,33383.30815846332,5929.852193567789,901745.0610738102,2976611.400618214,0.0969247806945258,0.09424699271268927,0.0,event_28,static_open_loop
2028-05-18,-113649.64465519768,23190.23765395084,5182.355127438666,-142022.2374365872,2834589.163181627,0.08807228747721413,0.08517547424654301,0.0,event_28,static_open_loop
2028-05-19,-1844129.4678051895,19675.242150468952,3941.133117621341,-1867745.8430732798,966843.3201083473,0.08219820842055862,0.08186416620862687,0.0,event_28,static_open_loop
