date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,event_id,strategy,selected_plan_source
2028-03-15,80428.94994042807,20561.93097576775,3045.584994825279,56821.43396983503,56821.43396983503,0.09005568411100952,0.08387010638338008,0.0,event_25,static_open_loop,static_open_loop
2028-03-16,-115422.61453822942,19808.59907840606,3599.111468814312,-138830.3250854498,-82008.89111561477,0.0713613428358298,0.07019152155013897,0.0,event_25,static_open_loop,static_open_loop
2028-03-17,40794.20509694725,29813.148830869315,4507.711114674533,6473.3451514033995,-75535.54596421137,0.08834235408414653,0.08278416823560805,0.0,event_25,static_open_loop,static_open_loop
2028-03-20,542969.2223575659,41493.291541984356,5694.705060479592,495781.22575510194,420245.67979089054,0.11618405925173603,0.10909020105180808,11724.467667962454,event_25,static_open_loop,static_open_loop
2028-03-21,-350240.2970302323,32229.274772522418,5720.783668184107,-388190.3554709389,32055.324319951644,0.08431092242397104,0.0818918469271282,0.0,event_25,static_open_loop,static_open_loop
2028-03-22,428262.2771316221,38718.416709906734,5967.566904744459,383576.2935169709,415631.6178369225,0.10423435303085986,0.09897649482320625,4874.807095053824,event_25,static_open_loop,static_open_loop
2028-03-23,-1267763.632984443,33864.51017892093,5298.262825973819,-1306926.4059893377,-891294.7881524152,0.10368145585401976,0.09986133957566179,3195.6636232099117,event_25,static_open_loop,static_open_loop
2028-03-24,1692031.1672026676,26394.185439403278,5015.43917218166,1660621.5425910826,769326.7544386674,0.08244744536488043,0.08194669178858101,0.0,event_25,static_open_loop,static_open_loop
2028-03-27,-1274076.8665563576,15432.484814362562,4331.363502420338,-1293840.7148731404,-524513.960434473,0.06244058684560442,0.061297018147125557,0.0,event_25,static_open_loop,static_open_loop
2028-03-28,-4038083.4635053934,20361.36372662343,6100.385801632377,-4064545.213033649,-4589059.173468122,0.05726596619987002,0.05624299652296541,0.0,event_25,static_open_loop,static_open_loop
2028-03-15,40494.0682860928,5380.205828489961,1556.0254956270728,33557.836961975765,33557.836961975765,0.047218273349545474,0.04411126031093397,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-16,-54624.8074164163,6721.674237644682,2097.685689971065,-63444.16734403204,-29886.330382056272,0.043657499247670366,0.04184619094845613,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-17,25719.68927997124,12202.111573233913,2896.706838923347,10620.870867813981,-19265.45951424229,0.05466503632516111,0.05464403258866245,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-20,362904.17617817275,18878.1900570239,3911.5957472964615,340114.3903738524,320848.9308596101,0.0721820911517935,0.07113245982460767,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-21,-150192.2631884661,23890.15297518439,4980.929285016291,-179063.34544866678,141785.5854109433,0.07142193950813173,0.0698900585562062,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-22,265047.25375322293,39596.91169559957,6037.127461420264,219413.21459620312,361198.80000714643,0.10302838310534992,0.09780321158293666,3486.431891934888,event_25,forecast_liquidity,forecast_liquidity
2028-03-23,-1037889.1194748284,41439.935381159565,5907.838971973095,-1085236.893827961,-724038.0938208146,0.11164409540614456,0.1074851020056269,10107.58069364645,event_25,forecast_liquidity,forecast_liquidity
2028-03-24,1547848.637065868,38305.346809514354,6160.5880875298535,1503382.7021688237,779344.6083480091,0.09569889654561077,0.09557045772930804,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-27,-1153770.6782379355,27515.251604079527,5576.437919164995,-1186862.36776118,-407517.759413171,0.08365385112175343,0.08227222375191838,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-03-28,-4038083.4635052863,39286.26773088302,9016.450375768904,-4086386.181611938,-4493903.941025109,0.0922746957440145,0.08748998108794868,0.0,event_25,forecast_liquidity,forecast_liquidity
2028-04-03,89408.31861126849,31953.15437837637,3784.951930903002,53670.21230198912,53670.21230198912,0.09957655352543059,0.09351240563554877,0.0,event_26,static_open_loop,static_open_loop
2028-04-04,-159944.3940231912,29701.738724310064,4069.6558406811628,-193715.78858818245,-140045.57628619333,0.08789088255132388,0.08782580518960917,0.0,event_26,static_open_loop,static_open_loop
2028-04-05,-1194897.9912931458,30225.122268003768,4624.882866741779,-1229747.9964278915,-1369793.5727140848,0.08832882137044244,0.08559659898612562,0.0,event_26,static_open_loop,static_open_loop
2028-04-06,736732.4710559738,36776.70601212646,4897.206399928513,695058.5586439188,-674735.0140701659,0.08908456383289266,0.08836716446631651,0.0,event_26,static_open_loop,static_open_loop
2028-04-07,-793255.8310299136,43676.732012415705,5516.163162525032,-842448.7262048543,-1517183.7402750202,0.11431012480479581,0.10909107338669342,15022.422695603527,event_26,static_open_loop,static_open_loop
2028-04-10,-321396.8456787546,32205.654758570214,6004.910093375198,-359607.4105307,-1876791.1508057201,0.08663747363593478,0.08491762319107811,0.0,event_26,static_open_loop,static_open_loop
2028-04-11,445242.54005205765,29733.950791867654,5769.997373912878,409738.59188627714,-1467052.558919443,0.09361332771381382,0.0884785510280056,0.0,event_26,static_open_loop,static_open_loop
2028-04-12,-568646.4975535262,23364.00819723185,4648.0866984408885,-596658.5924491988,-2063711.1513686418,0.08605474889620747,0.08511721605038006,0.0,event_26,static_open_loop,static_open_loop
2028-04-13,546084.802627645,21635.64284099068,5082.583576407329,519366.57621024695,-1544344.5751583949,0.07108151431416417,0.0664480702125217,0.0,event_26,static_open_loop,static_open_loop
2028-04-14,1634970.45875762,11596.408484818463,4090.929198784887,1619283.1210740167,74938.5459156218,0.05526182736614256,0.05294879923023844,0.0,event_26,static_open_loop,static_open_loop
2028-04-03,89408.31861126849,31953.15437837637,3784.951930903002,53670.21230198912,53670.21230198912,0.09957655352543059,0.09351240563554877,0.0,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-04,-159944.3940231912,29701.738724310064,4069.6558406811628,-193715.78858818245,-140045.57628619333,0.08789088255132388,0.08782580518960917,0.0,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-05,-1194897.9912931458,30225.122268003768,4624.882866741779,-1229747.9964278915,-1369793.5727140848,0.08832882137044244,0.08559659898612562,0.0,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-06,736732.4710559738,36776.70601212646,4897.206399928513,695058.5586439188,-674735.0140701659,0.08908456383289266,0.08836716446631651,0.0,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-07,-793255.8310299136,43676.732012415705,5516.163162525032,-842448.7262048543,-1517183.7402750202,0.11431012480479581,0.10909107338669342,15022.422695603527,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-10,-321396.8456787546,32205.654758570214,6004.910093375198,-359607.4105307,-1876791.1508057201,0.08663747363593478,0.08491762319107811,0.0,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-11,445242.54005205765,29733.950791867654,5769.997373912878,409738.59188627714,-1467052.558919443,0.09361332771381382,0.0884785510280056,0.0,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-12,-568646.4975535262,23364.00819723185,4648.0866984408885,-596658.5924491988,-2063711.1513686418,0.08605474889620747,0.08511721605038006,0.0,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-13,546084.802627645,21635.64284099068,5082.583576407329,519366.57621024695,-1544344.5751583949,0.07108151431416417,0.0664480702125217,0.0,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-14,1634970.45875762,11596.408484818463,4090.929198784887,1619283.1210740167,74938.5459156218,0.05526182736614256,0.05294879923023844,0.0,event_26,forecast_liquidity,static_open_loop_fallback
2028-04-20,41518.864615871265,41048.85152353479,4491.335179897245,-4021.3220875607676,-4021.3220875607676,0.12637186453891427,0.11631416393966319,12842.934419784106,event_27,static_open_loop,static_open_loop
2028-04-21,60702.37261317184,55135.479881335305,4382.526155947199,1184.3665758893394,-2836.955511671428,0.12364628585169421,0.11956894602138242,13283.15486921418,event_27,static_open_loop,static_open_loop
2028-04-24,-386894.4715546343,40441.60748254558,5204.734788282857,-432540.8138254627,-435377.76933713414,0.10728394672086235,0.10115997220220774,5159.142393353104,event_27,static_open_loop,static_open_loop
2028-04-25,-544412.0774516303,45849.57605798457,5593.945342882408,-595855.5988524973,-1031233.3681896315,0.10361431958787985,0.1034526551607059,2772.71682449097,event_27,static_open_loop,static_open_loop
2028-04-26,-195858.7644295606,46798.54841137835,5902.016806865176,-248559.32964780412,-1279792.6978374356,0.1295889125158317,0.12175280844044753,20287.072569450655,event_27,static_open_loop,static_open_loop
2028-04-27,-1570510.7598639017,45924.304446114875,6099.751386391132,-1622534.8156964078,-2902327.5135338437,0.1137768537430238,0.11211890118635588,12948.33119951222,event_27,static_open_loop,static_open_loop
2028-04-28,396744.826160648,30777.214959339908,5667.0602656059245,360300.55093570217,-2542026.9625981413,0.09018416181997045,0.08830586423415579,0.0,event_27,static_open_loop,static_open_loop
2028-05-01,-1769676.9087234105,28033.237107777728,4333.3798501395995,-1802043.5256813278,-4344070.488279469,0.09354054045568141,0.09301665633019797,0.0,event_27,static_open_loop,static_open_loop
2028-05-02,-735872.4858145365,16201.820457174083,3355.5348919923204,-755429.8411637029,-5099500.329443173,0.08816278960682314,0.08706992384128517,0.0,event_27,static_open_loop,static_open_loop
2028-05-03,-692538.0362893719,9908.635952452292,3725.250440618281,-706171.9226824425,-5805672.252125615,0.05033059110271898,0.04841452792093414,0.0,event_27,static_open_loop,static_open_loop
2028-04-20,41518.864615871265,41048.85152353479,4491.335179897245,-4021.3220875607676,-4021.3220875607676,0.12637186453891427,0.11631416393966319,12842.934419784106,event_27,forecast_liquidity,static_open_loop_fallback
2028-04-21,60702.37261317184,55135.479881335305,4382.526155947199,1184.3665758893394,-2836.955511671428,0.12364628585169421,0.11956894602138242,13283.15486921418,event_27,forecast_liquidity,static_open_loop_fallback
2028-04-24,-386894.4715546343,40441.60748254558,5204.734788282857,-432540.8138254627,-435377.76933713414,0.10728394672086235,0.10115997220220774,5159.142393353104,event_27,forecast_liquidity,static_open_loop_fallback
