candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,plan_selection_policy,selected_plan_source,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,liquidity_shape_fraction,applied_inventory_risk_weight
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,165900.67331867668,295168.74941822735,49007.710944696504,-178275.78704424718,4355871.96288503,7063427.859475177,8729299.011091111,0.546875,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,163994.05465999802,293663.21090463275,48963.96524020964,-178633.12148484436,4258422.6497141095,6928271.684874261,8533158.155746829,0.546875,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,161083.44185969327,292826.6073922532,48900.36286448131,-180643.52839704123,4122250.5273146634,6956437.833355613,8254124.397529196,0.546875,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,155687.47503708414,293926.0023341775,48886.56054365227,-187125.08784074563,3966088.3511522505,6785413.702313208,7937896.189666288,0.53125,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,9.120811753644233e-08
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,149246.1154057805,299773.35859339504,48998.11997910813,-199525.36316672267,3867748.4565164405,6739573.368883002,7694704.572758372,0.5,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,9.120811753644233e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,140793.85673133147,315050.9540227511,49051.4978711376,-223308.5951625572,3805081.643982294,6691325.673839524,7449220.958501079,0.5,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,9.120811753644233e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,166267.8592243953,303291.0058505878,48081.49619826737,-185104.64282445988,4104633.1176108634,6526375.118136606,8008327.32206333,0.53125,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,none,risk_scaled,0.5,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,164067.74406920443,301051.75334138033,48067.48509621393,-185051.49436838983,4050024.3294076202,6474206.80686338,7891212.437371039,0.53125,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,none,risk_scaled,0.5,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,160873.8916320176,298249.8361567532,48055.885100201456,-185431.82962493703,3976143.1981204594,6489933.280853434,7729303.896729331,0.53125,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,none,risk_scaled,0.5,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,154762.43971708935,293887.95077191223,48111.44888190925,-187236.95993673214,3852385.40933727,6505727.67887228,7452207.269126253,0.53125,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,none,risk_scaled,0.5,9.120811753644233e-08
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,146212.22492823,293951.17803310894,48307.86342070029,-196046.81652557926,3705443.176974422,6408857.742507921,7207843.118516078,0.5,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,none,risk_scaled,0.5,9.120811753644233e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,136119.26778803146,306612.17857211793,48510.328782729375,-219003.23956681584,3609967.234475349,6194700.241824001,7014927.845064513,0.5,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,none,risk_scaled,0.5,9.120811753644233e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,453634.9121819096,319944.74576397904,49882.306513263786,83807.85990466678,4447843.034164918,7230321.735222059,8958493.354149906,0.5625,event_26,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.73624352609327e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,451770.7850116586,318334.2927363278,49839.64288276722,83596.8493925636,4392820.475358838,7118011.805195776,9033460.2351997,0.5625,event_26,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.73624352609327e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,448083.52520602406,316177.6177133587,49762.05416899443,82143.85332367092,4300244.72137861,6920043.158122399,9153176.201300396,0.5625,event_26,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.73624352609327e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,432052.77597119287,308909.3482408374,49551.935606128245,73591.49212422722,4107515.9650164163,6454259.009139948,9474149.772654435,0.546875,event_26,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.73624352609327e-08
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,407889.44799522957,306421.8734381221,49321.197022568485,52146.37753453898,3941820.731400424,6018144.690288239,9708174.606567645,0.578125,event_26,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.73624352609327e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,367767.0301932397,312862.0111121686,49157.28691836484,5747.732162706234,3822247.3024418177,5782695.726219408,9448846.25565511,0.515625,event_26,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.73624352609327e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,416530.010931239,310431.27860606636,48931.83242709553,57166.89989807711,4197000.586180743,7605417.22618727,8288550.396264566,0.53125,event_26,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,none,risk_scaled,0.5,2.73624352609327e-08
